Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
day1_alex_1_215b94c3	a_	Ruby is really something else. Those curves, her full, round hips, and that ass... God, she's got such a perfect ass. And her breasts... I wonder if I stand a chance with her.	game/story_scripts/day1_alex.rpy	642	a_ "[what]"
day1_alex_1_33554380	a_	She must know how sexy she is, the way she moves, the way she carries herself. It drives me wild.	game/story_scripts/day1_alex.rpy	643	a_ "[what]"
day1_alex_1_6ba0fafb		{i}I watched her from behind, her movements fluid and graceful despite the mundane task. Her ample hips swayed slightly as she scrubbed a plate, and I couldn't help but let my eyes trace the curve of her backside.	game/story_scripts/day1_alex.rpy	644	"[what]"
day1_alex_1_f6541adf		{i}The fabric of her skirt hugged her figure tightly, leaving little to the imagination. The sight of her made my heart race, and I felt a familiar longing stir within me.	game/story_scripts/day1_alex.rpy	645	"[what]"
day1_alex_1_ed482699	a_	I wonder what she'd be like in bed, with all those luscious curves. Could I make her mine, even just for a night? It’s hard to resist someone like her.	game/story_scripts/day1_alex.rpy	646	a_ "[what]"
day1_alex_1_7c1a0029	a_	Those breasts... they'd be perfect to hold, to kiss. And her ass, I bet it feels amazing. I need to find a way to get closer to her, to see if there's a spark there.	game/story_scripts/day1_alex.rpy	647	a_ "[what]"
day1_alex_1_bc9e8a60	a_	Okay, Alex, think. You can’t just stand here ogling her. Say something, make a move.	game/story_scripts/day1_alex.rpy	648	a_ "[what]"
day1_alex_1_d9c717f5	a	Hey Ruby, I just wanted to say thanks for the dinner. It was really good. You always make the best meals.	game/story_scripts/day1_alex.rpy	650	a "[what]"
day1_alex_1_1c2f4cad		{i}She turned her head slightly, a look of mild surprise crossing her face before she composed herself and offered a small smile.	game/story_scripts/day1_alex.rpy	651	"[what]"
day1_alex_1_3bd9f1a2	r	Oh, thank you, Mr. Alex. I'm glad you enjoyed it.	game/story_scripts/day1_alex.rpy	655	r "[what]"
day1_alex_1_01fde79b		{i}I leaned against the counter, trying to appear relaxed and friendly.	game/story_scripts/day1_alex.rpy	656	"[what]"
day1_alex_1_5f40726f	a	So, how's everything going? Must be a lot of work keeping this place in order, huh?	game/story_scripts/day1_alex.rpy	657	a "[what]"
day1_alex_1_673c850f	r	It can be, but I don't mind. It keeps me busy, and I like making sure everyone has what they need.	game/story_scripts/day1_alex.rpy	659	r "[what]"
day1_alex_1_06a6b4e0	a	I bet. You've been doing a great job, though. The place looks spotless. Do you ever get any time to relax?	game/story_scripts/day1_alex.rpy	660	a "[what]"
day1_alex_1_ccb8af06	r	Not as much as I'd like, but I find little moments here and there. It’s nice to have a quiet evening once in a while.	game/story_scripts/day1_alex.rpy	662	r "[what]"
day1_alex_1_7de9e888	a	So, Ruby, do you live in the village, or do you stay here at the mansion?	game/story_scripts/day1_alex.rpy	663	a "[what]"
day1_alex_1_02165cc2	r	I actually live here in the mansion. It’s more convenient with all the work I have to do.	game/story_scripts/day1_alex.rpy	665	r "[what]"
day1_alex_1_13b1a11b		{i}Her response carried a hint of something deeper, but I decided not to press her just yet.	game/story_scripts/day1_alex.rpy	666	"[what]"
day1_alex_1_a9dde6ee	a	I see. It must be quite an experience, living in a place like this. What do you think of the village?	game/story_scripts/day1_alex.rpy	667	a "[what]"
day1_alex_1_7bd3c371	r	The village is nice. It’s quiet and the people are friendly. But there's something about the mansion... it has its own charm, despite everything.	game/story_scripts/day1_alex.rpy	668	r "[what]"
day1_alex_1_47248adf	a	Yeah, it does have a unique atmosphere. I guess it's not just the mansion that makes it special, but the people in it too.	game/story_scripts/day1_alex.rpy	669	a "[what]"
day1_alex_1_1ab5a1c9		{i}Ruby offered a small smile, her eyes showing appreciation for my words.	game/story_scripts/day1_alex.rpy	673	"[what]"
day1_alex_1_0ef1e77e		{i}Ruby continued seriously, her eyes showing appreciation of the intentions of my words.	game/story_scripts/day1_alex.rpy	675	"[what]"
day1_alex_1_6d266c62	a	I met one of the neighbors the other today, Eleanor. Do you know her?	game/story_scripts/day1_alex.rpy	677	a "[what]"
day1_alex_1_839a653a		{i}Ruby’s tone remained neutral, but there was a subtle tension beneath her polite demeanor.	game/story_scripts/day1_alex.rpy	679	"[what]"
day1_alex_1_a77d3bfb	a	I helped her out with a light in her kitchen. She seemed like a nice person.	game/story_scripts/day1_alex.rpy	682	a "[what]"
day1_alex_1_d1df3e05	r	That's good of you, Alex. It’s always nice to help out neighbors.	game/story_scripts/day1_alex.rpy	683	r "[what]"
day1_alex_1_6a51d74b	a	Do you know much about her? What’s she like?	game/story_scripts/day1_alex.rpy	685	a "[what]"
day1_alex_1_7988fef7	r	I don’t know her personally, but from what I’ve heard, she keeps to herself. She’s always seemed polite from a distance.	game/story_scripts/day1_alex.rpy	686	r "[what]"
day1_alex_1_d1f745fc		{i}There was something in Ruby’s eyes as she spoke, a flicker of something deeper, but she remained composed and polite.	game/story_scripts/day1_alex.rpy	687	"[what]"
day1_alex_1_b094d9a6		{i}Standing in the kitchen, I decided to address what had happened earlier with Daniel. Ruby deserved to know someone cared about her well-being.	game/story_scripts/day1_alex.rpy	689	"[what]"
day1_alex_1_1479b92b	a	Ruby, are you okay after what happened with Daniel at dinner?	game/story_scripts/day1_alex.rpy	690	a "[what]"
day1_alex_1_def96a9b		{i}Ruby's face softened, a genuine smile spreading across her lips.	game/story_scripts/day1_alex.rpy	694	"[what]"
day1_alex_1_6a59fc8a	r	Thank you for standing up for me, Mr. Alex. It means a lot.	game/story_scripts/day1_alex.rpy	695	r "[what]"
day1_alex_1_596ee07a		{i}I took a step closer, trying to seem both supportive and interested.	game/story_scripts/day1_alex.rpy	696	"[what]"
day1_alex_1_41965b19	a	Of course, Ruby. No one deserves to be treated like that. If you ever need anything, or just want to talk, you can count on me.	game/story_scripts/day1_alex.rpy	697	a "[what]"
day1_alex_1_e1f91b62	r	That’s very kind of you, Mr. Alex. I really appreciate it.	game/story_scripts/day1_alex.rpy	698	r "[what]"
day1_alex_1_3381bfc0	a	It's nothing, really. You deserve to be treated with respect. And, honestly, I enjoy our conversations.	game/story_scripts/day1_alex.rpy	699	a "[what]"
day1_alex_1_6faea566	a_	Ruby's definitely warming up to me. Maybe there's a chance to get closer to her.	game/story_scripts/day1_alex.rpy	700	a_ "[what]"
day1_alex_1_1cbec73b		{i}Ruby nodded, her smile lingering as she returned to her work.	game/story_scripts/day1_alex.rpy	701	"[what]"
day1_alex_1_06161fb6		{i}I watched her for a moment, feeling both protective and intrigued.	game/story_scripts/day1_alex.rpy	703	"[what]"
day1_alex_1_2d7edeca	r	Thank you, Mr. Alex. It’s nice to have someone to talk to.	game/story_scripts/day1_alex.rpy	704	r "[what]"
day1_alex_1_feca67fe		{i}Ruby paused, turning to face me with a polite but firm expression.	game/story_scripts/day1_alex.rpy	707	"[what]"
day1_alex_1_6051dc63	r	I appreciate your concern, Mr. Alex, but there's no need to worry about me. I can handle myself.	game/story_scripts/day1_alex.rpy	708	r "[what]"
day1_alex_1_ad047c67		{i}Her words were kind, but there was an undercurrent of disappointment that stung a little.	game/story_scripts/day1_alex.rpy	709	"[what]"
day1_alex_1_8bc91436	a_	Ah, she’s got a point. Maybe I should have spoken up earlier. Still, I can't help but feel bad for her.	game/story_scripts/day1_alex.rpy	710	a_ "[what]"
day1_alex_1_cdb0b12e	a	Alright, Ruby. But if you ever need anything, I'm here.	game/story_scripts/day1_alex.rpy	711	a "[what]"
day1_alex_1_853b0fd8	r	Thank you, Mr. Alex. I’ll keep that in mind.	game/story_scripts/day1_alex.rpy	712	r "[what]"
day1_alex_1_ac20c414		{i}As we continued our conversation in the kitchen, I decided to take a chance and compliment Ruby. She had been through a lot tonight, and I wanted to lift her spirits.	game/story_scripts/day1_alex.rpy	720	"[what]"
day1_alex_1_4fd5a4b4	a	You know, Ruby, I have to say, you look amazing. All that hard work really shows.	game/story_scripts/day1_alex.rpy	721	a "[what]"
day1_alex_1_5da4d5f9	r	Thank you, Mr. Alex. That's very kind of you to say.	game/story_scripts/day1_alex.rpy	723	r "[what]"
day1_alex_1_02f4e9c0		{i}I took a step closer, trying to keep the mood light and friendly.	game/story_scripts/day1_alex.rpy	724	"[what]"
day1_alex_1_95b99ef5	a	I mean it. You're in great shape, and it’s impressive. Not many people have that kind of dedication.	game/story_scripts/day1_alex.rpy	725	a "[what]"
day1_alex_1_fa91899c		{i}Ruby's smile faltered a bit, and she shifted uncomfortably.	game/story_scripts/day1_alex.rpy	727	"[what]"
day1_alex_1_8391a0fd	r	I appreciate it, but I really should get back to work. There's still a lot to do.	game/story_scripts/day1_alex.rpy	728	r "[what]"
day1_alex_1_54cd3b4b	a	Come on, Ruby. You've done enough for tonight. You deserve to relax and maybe enjoy some company.	game/story_scripts/day1_alex.rpy	729	a "[what]"
day1_alex_1_a3ae6c7e	r	Mr. Alex, I really need to finish up here. Thank you for your concern, but I'm fine.	game/story_scripts/day1_alex.rpy	730	r "[what]"
day1_alex_1_20d79b92	a	Alright, alright. I didn't mean to make you uncomfortable. I just wanted to make sure you're okay.	game/story_scripts/day1_alex.rpy	731	a "[what]"
day1_alex_1_31ce054c	r	I understand. Thank you, Mr. Alex.	game/story_scripts/day1_alex.rpy	733	r "[what]"
day1_alex_1_1a2d1b4b		{i}Feeling the tension in the air, I decided it was best to leave her to her work.	game/story_scripts/day1_alex.rpy	734	"[what]"
day1_alex_1_824386ed	a	I'll head back to my room. Have a good night, Ruby.	game/story_scripts/day1_alex.rpy	735	a "[what]"
day1_alex_1_2562b573		{i}As I left the kitchen, I couldn't shake the feeling of regret. I needed to be more careful with my approach..	game/story_scripts/day1_alex.rpy	737	"[what]"
day1_alex_1_72581c40	a	Ruby, I have to say, the effort you put into this place is incredible. You really keep everything running smoothly, and it shows.	game/story_scripts/day1_alex.rpy	741	a "[what]"
day1_alex_1_832eea56		{i}Ruby’s face lit up with a genuine smile, her eyes reflecting a mixture of surprise and gratitude.	game/story_scripts/day1_alex.rpy	743	"[what]"
day1_alex_1_50841968	r	Thank you, Mr. Alex. That means a lot to me. I take pride in what I do.	game/story_scripts/day1_alex.rpy	744	r "[what]"
day1_alex_1_b4827ff8		{i}I took a step closer, maintaining a respectful distance, and continued to praise her.	game/story_scripts/day1_alex.rpy	745	"[what]"
day1_alex_1_d45e66c7	a	You should. It’s not easy managing a place this big, and you do it with such grace and dedication. We're all lucky to have you here.	game/story_scripts/day1_alex.rpy	746	a "[what]"
day1_alex_1_d1c18b14		{i}Ruby blushed, clearly flattered by the compliments. She looked down for a moment, her smile shy but pleased.	game/story_scripts/day1_alex.rpy	748	"[what]"
day1_alex_1_d395d84a	r	You're very kind, Mr. Alex. I just try to do my best.	game/story_scripts/day1_alex.rpy	749	r "[what]"
day1_alex_1_e4e7503b	a	It really shows, Ruby. You go above and beyond, and it doesn’t go unnoticed.	game/story_scripts/day1_alex.rpy	750	a "[what]"
day1_alex_1_70a891c3	r	I really appreciate your kind words.	game/story_scripts/day1_alex.rpy	751	r "[what]"
day1_alex_1_d4ed60ea	a	Well, I should probably head to my room and let you finish up here. Have a good night, Ruby.	game/story_scripts/day1_alex.rpy	752	a "[what]"
day1_alex_1_566458c8	r	Good night, Mr. Alex. And thank you again.	game/story_scripts/day1_alex.rpy	754	r "[what]"
day1_alex_1_20a8cfd6		{i}As I left the kitchen, I couldn't help but feel a sense of accomplishment. Ruby’s genuine smile and the gratitude in her eyes made me feel like I had done something right.	game/story_scripts/day1_alex.rpy	756	"[what]"
day1_alex_1_807b6134	a_	She really is incredible. It’s nice to know she appreciated what I said.	game/story_scripts/day1_alex.rpy	757	a_ "[what]"
day1_alex_1_737deaed		{i}Her shy smile and the way she blushed at my compliments lingered in my thoughts.	game/story_scripts/day1_alex.rpy	758	"[what]"
day1_alex_1_ef743f51		{i}I stayed for a while longer, chatting with Ruby, feeling the bond between us grow stronger. There was something about her that drew me in, and I was determined to see where this newfound connection could lead.	game/story_scripts/day1_alex.rpy	761	"[what]"
day1_alex_1_d83438f6		{i}I walked back to my room after that awkward attempt at flirting with Ruby.	game/story_scripts/day1_alex.rpy	762	"[what]"
day1_alex_1_0e4a9a48	a_	Yeah, that didn’t go as planned. Smooth, Alex. Real smooth.	game/story_scripts/day1_alex.rpy	764	a_ "[what]"
day1_alex_1_33c9f118		{i}The hallway felt longer than usual, my mind replaying every moment like a bad movie scene on repeat.	game/story_scripts/day1_alex.rpy	766	"[what]"
day1_alex_1_06ca01ff		{i}As I reached my door, I pushed it open and found Emma standing there, her eyes fixated on some painting on the wall. I hadn’t even noticed that damn thing before.	game/story_scripts/day1_alex.rpy	770	"[what]"
day1_alex_1_e0ffee0c	a_	Why does she always look like she’s analyzing something? What is she thinking right now?	game/story_scripts/day1_alex.rpy	771	a_ "[what]"
day1_alex_1_213976c9		{i}I leaned against the door frame, watching her for a moment. There was something about the way she observed things that always threw me off.	game/story_scripts/day1_alex.rpy	773	"[what]"
day1_alex_1_72be7dda		{i}I could already tell by her stance that she was deep in thought, probably overanalyzing it—something I’d never understand.	game/story_scripts/day1_alex.rpy	775	"[what]"
day1_alex_1_5289010a		{i}She didn’t even turn around to acknowledge me, just kept staring like she was in some kind of trance.	game/story_scripts/day1_alex.rpy	776	"[what]"
day1_alex_1_9aec6b38	e	Are you going to just stand there, or do you actually have something to say?	game/story_scripts/day1_alex.rpy	778	e "[what]"
day1_alex_1_34303f46		{i}She shot me a look, but didn’t turn away from the painting.	game/story_scripts/day1_alex.rpy	780	"[what]"
day1_alex_1_b069183b	a_	What does she really see in that thing? Or maybe she's just trying to distract herself... or distract me?	game/story_scripts/day1_alex.rpy	781	a_ "[what]"
day1_alex_1_f9afa4f9	a	Uh... yeah, I mean... what even is this? Is it, like, a lady-octopus thing? I don't get it.	game/story_scripts/day1_alex.rpy	783	a "[what]"
day1_alex_1_b34262d3		{i}I knew what was coming. She was going to school me on this, like always.	game/story_scripts/day1_alex.rpy	785	"[what]"
day1_alex_1_eb9536c1	e	A lady-octopus thing. That’s your brilliant observation?	game/story_scripts/day1_alex.rpy	787	e "[what]"
day1_alex_1_f9fa4338		{i}I shrugged, keeping it casual. What else was I supposed to say? It *was* weird.	game/story_scripts/day1_alex.rpy	788	"[what]"
day1_alex_1_06afa84a	a	I mean... yeah, it’s weird, right?	game/story_scripts/day1_alex.rpy	790	a "[what]"
day1_alex_1_66878c11	a	She’s got this crazy hair, and then—bam—tentacles? Like, what's she supposed to be? Some kind of sea witch?	game/story_scripts/day1_alex.rpy	791	a "[what]"
day1_alex_1_f5e11045		{i}I glanced at Emma. She had that look, the one that said I didn’t get it—like I was supposed to be seeing something profound in those tentacles.	game/story_scripts/day1_alex.rpy	792	"[what]"
day1_alex_1_f9fa4338_1		{i}I shrugged, keeping it casual. What else was I supposed to say? It *was* weird.	game/story_scripts/day1_alex.rpy	793	"[what]"
day1_alex_1_488d2a5c	e	It’s more than just a 'sea witch,' Alex. It’s about... I don’t know, duality. Chaos. Control. Maybe even power.	game/story_scripts/day1_alex.rpy	795	e "[what]"
day1_alex_1_a14c551e	a	Power?	game/story_scripts/day1_alex.rpy	796	a "[what]"
day1_alex_1_3ebcea0f	a	Uh, sure, if you say so. But, come on, you can’t deny it looks kinda... offbeat. Like something out of a creepy comic book.	game/story_scripts/day1_alex.rpy	797	a "[what]"
day1_alex_1_2160e4fe		{i}Sure, I could humor her. But deep down, I just didn’t see it. She stared at me, waiting for something. I fumbled for words.	game/story_scripts/day1_alex.rpy	798	"[what]"
day1_alex_1_5e715ed5	e	You know what, Alex? If you can’t handle something deeper than a comic book, maybe you should stick to the shallow end of the pool.	game/story_scripts/day1_alex.rpy	800	e "[what]"
day1_alex_1_91ae1c60	a_	What did I do? Come on Emma, ​​I'm trying. Like something out of a scary comic book... Why are you mad at me... God, what do I have to do?	game/story_scripts/day1_alex.rpy	802	a_ "[what]"
day1_emma_1_f890d68b	e_	How did we get here?	game/story_scripts/day1_emma.rpy	15	e_ "[what]"
day1_emma_1_1f08a95d	e_	I never thought my marriage would come to this. We were supposed to be happy, supposed to build a life together...	game/story_scripts/day1_emma.rpy	16	e_ "[what]"
day1_emma_1_4c21c263	e_	but now, we’re stuck in this limbo.	game/story_scripts/day1_emma.rpy	17	e_ "[what]"
day1_emma_1_33368b66	e_	One year. Just one more year living under the same roof, pretending like we can tolerate each other, just to inherit this damn mansion. It feels so surreal.	game/story_scripts/day1_emma.rpy	18	e_ "[what]"
day1_emma_1_23db4355	e_	I loved him. God, I loved him so much. But it was never enough. No matter what I did, no matter how much I gave, it always felt like he wanted something more, something I couldn’t give.	game/story_scripts/day1_emma.rpy	20	e_ "[what]"
day1_emma_1_2709c7cd	e_	And now, here I am, waking up in the same bed as the man I once thought was my everything, knowing that divorce is the only solution.	game/story_scripts/day1_emma.rpy	21	e_ "[what]"
day1_emma_1_5ed3f70b	e_	Even though it’s not what I planned when we got married... it’s the only way out of this cycle of disappointment and heartbreak.	game/story_scripts/day1_emma.rpy	22	e_ "[what]"
day1_emma_1_1513a5b7		{i}I suddenly felt Alex's arms wrap around my waist. His touch startled me, and before I could react, he pulled me back gently into him.	game/story_scripts/day1_emma.rpy	24	"[what]"
day1_emma_1_78aee4f2	a	Hey, beautiful. I've missed this. Don’t you miss it too?	game/story_scripts/day1_emma.rpy	25	a "[what]"
day1_emma_1_c2efd565		{i}The warmth of his body pressed against mine, and I felt my breath catch in my throat.	game/story_scripts/day1_emma.rpy	26	"[what]"
day1_emma_1_e5864416	e_	Why is he doing this? After everything, why now? It feels... familiar. Safe. And yet, I shouldn’t be feeling this way. We’re supposed to be over. I should push him away... but I don’t. Why can’t I?	game/story_scripts/day1_emma.rpy	27	e_ "[what]"
day1_emma_1_95d75901	e_	Am I still attracted to him? God, of course I am. But it’s more than that, isn’t it? Maybe I just miss what we had. Or maybe it’s him. Do I flirt back?	game/story_scripts/day1_emma.rpy	28	e_ "[what]"
day1_emma_1_f8695ad7	e_	What would that even mean for us? No, I can’t let this go too far. We’re not in a good place, and I can’t pretend everything’s okay just because he touched me.	game/story_scripts/day1_emma.rpy	29	e_ "[what]"
day1_emma_1_cc38bd47	e	Alex, what are you doing?	game/story_scripts/day1_emma.rpy	37	e "[what]"
day1_emma_1_d410b8c2	a	Come on, Emma. Just a quick one. I know you’ve missed it too.	game/story_scripts/day1_emma.rpy	38	a "[what]"
day1_emma_1_51fdbf82	e_	He’s doing it again. Trying to get close like nothing happened, like all the hurt just vanished. It’s so frustrating.	game/story_scripts/day1_emma.rpy	39	e_ "[what]"
day1_emma_1_c03a896c	e_	I feel his arms tightening around me, and for a second, I almost forget. Almost. But I can’t. I can’t let him pull me back into this.	game/story_scripts/day1_emma.rpy	40	e_ "[what]"
day1_emma_1_72103db5		{i}I sighed, stepping forward slightly to create distance between us. His warmth faded, replaced by the familiar tension that had been lingering for months.	game/story_scripts/day1_emma.rpy	42	"[what]"
day1_emma_1_bc0fc347	e_	Why does he think this is enough? That a touch, a few soft words, can fix everything? After all we’ve been through, after all the lies...	game/story_scripts/day1_emma.rpy	43	e_ "[what]"
day1_emma_1_cdc97c51	e	Alex, no. I’m not in the mood. Especially after everything.	game/story_scripts/day1_emma.rpy	44	e "[what]"
day1_emma_1_1006d634	a	Emma, please. I need this. We need this.	game/story_scripts/day1_emma.rpy	45	a "[what]"
day1_emma_1_02a0f738	e_	He doesn’t get it. He never does. It’s not just about wanting him—it’s about trust, about all the times he let me down.	game/story_scripts/day1_emma.rpy	46	e_ "[what]"
day1_emma_1_94ee7822	e	I can’t just ignore everything. Especially after talking to Isabella.	game/story_scripts/day1_emma.rpy	47	e "[what]"
day1_emma_1_5e7154e0	a	Isabella? What did she say?	game/story_scripts/day1_emma.rpy	48	a "[what]"
day1_emma_1_e69bfed8	e_	He can’t keep pretending everything’s fine. Not after what Isabella said. God, why do I even bother explaining this to him anymore?	game/story_scripts/day1_emma.rpy	49	e_ "[what]"
day1_emma_1_f60933dc	e	It doesn’t matter. The point is, I’m not interested, Alex. Just leave me alone.	game/story_scripts/day1_emma.rpy	50	e "[what]"
day1_emma_1_2e482c54	a	Fine. I’ll go out, then. Maybe clear my head.	game/story_scripts/day1_emma.rpy	51	a "[what]"
day1_emma_1_f437b2b7		{i}As he stepped away, I felt the weight of it all press down on me again.	game/story_scripts/day1_emma.rpy	56	"[what]"
day1_emma_1_d4de9754		{i}This wasn’t going to be easy, but I couldn’t let him draw me back in. Not this time.	game/story_scripts/day1_emma.rpy	58	"[what]"
day1_emma_1_cc38bd47_1	e	Alex, what are you doing?	game/story_scripts/day1_emma.rpy	63	e "[what]"
day1_emma_1_96e26891	a	Emma, come on. You know we still have something between us.	game/story_scripts/day1_emma.rpy	64	a "[what]"
day1_emma_1_4c35785c		{i}Alex's eyes were glued to me, and I could feel his desire even before he touched me. My body responded almost instinctively, heat rising in my chest.	game/story_scripts/day1_emma.rpy	66	"[what]"
day1_emma_1_41150fb9		{i}I let my hand fall from my chest, exposing myself fully to him. I saw his breath hitch, and for a second, I felt powerful. It had been so long since I felt this way.	game/story_scripts/day1_emma.rpy	67	"[what]"
day1_emma_1_41c4c1fa	e	Alex, no. We can’t... not yet.	game/story_scripts/day1_emma.rpy	69	e "[what]"
day1_emma_1_95917264	a	Emma, come on. You feel it too, don’t you? This… it’s still there between us.	game/story_scripts/day1_emma.rpy	70	a "[what]"
day1_emma_1_1d54f5f5	e_	He still wants me. After everything we’ve been through, he still looks at me like this. And what’s worse… I still want him too.	game/story_scripts/day1_emma.rpy	71	e_ "[what]"
day1_emma_1_c4f633f7		{i}Alex stepped closer, his hands reaching for my waist, pulling me into him. His touch was firm, his fingers digging into the soft skin of my hips as he wrapped his arms around me.	game/story_scripts/day1_emma.rpy	73	"[what]"
day1_emma_1_d5d50f9e		{i}My heart raced as his hands slid lower, grabbing both sides of my ass and pulling me even closer.	game/story_scripts/day1_emma.rpy	74	"[what]"
day1_emma_1_1fe70a50	e_	Why does this still feel so good? We’re not supposed to be like this anymore. But damn... I can’t deny the way my body is reacting to him.	game/story_scripts/day1_emma.rpy	75	e_ "[what]"
day1_emma_1_6c8f31e7	e	I’m not saying we don’t, Alex. But this... this isn’t how we fix things.	game/story_scripts/day1_emma.rpy	76	e "[what]"
day1_emma_1_e26cd85d	a	Why not? What’s stopping us right now? We both know this is what we want.	game/story_scripts/day1_emma.rpy	77	a "[what]"
day1_emma_1_55bbfb0c	e	It’s not that simple. Wanting you... it’s not enough to make everything okay between us.	game/story_scripts/day1_emma.rpy	78	e "[what]"
day1_emma_1_2f978596		{i}He groaned softly, clearly frustrated, but he didn’t let go.	game/story_scripts/day1_emma.rpy	79	"[what]"
day1_emma_1_4b8e8a72		{i}Instead, he pulled me even closer, his hands now gripping my ass firmly, and I felt my heart race.	game/story_scripts/day1_emma.rpy	81	"[what]"
day1_emma_1_fd6c7fbc		{i}His lips hovered near mine, and for a second, I almost let it happen.	game/story_scripts/day1_emma.rpy	83	"[what]"
day1_emma_1_cd6f07c1	a	Then let’s stop thinking and just... be in the moment.	game/story_scripts/day1_emma.rpy	84	a "[what]"
day1_emma_1_246b47dd	e	We can’t just pretend nothing’s wrong because we still want each other.	game/story_scripts/day1_emma.rpy	85	e "[what]"
day1_emma_1_29225de4	a	Who’s pretending? I know things aren’t perfect, but why can’t we just have this? Right now?	game/story_scripts/day1_emma.rpy	86	a "[what]"
day1_emma_1_3e6618ed	e	Because we’ll still wake up tomorrow with the same problems, Alex.	game/story_scripts/day1_emma.rpy	88	e "[what]"
day1_emma_1_88085e2a	e_	If we do this now, it’ll just complicate things even more. It’ll feel good in the moment, but we’ll still be stuck in the same place afterward.	game/story_scripts/day1_emma.rpy	89	e_ "[what]"
day1_emma_1_b30acea0	a	So what do you want from me, Emma? What do I have to do?	game/story_scripts/day1_emma.rpy	90	a "[what]"
day1_emma_1_a3c1a416		{i}For a moment, neither of us spoke. He stared at me, searching my face for some kind of answer. Then, slowly, he let out a long breath, finally stepping back.	game/story_scripts/day1_emma.rpy	91	"[what]"
day1_emma_1_fb9a4e1d	a	Fine. You’re right... but damn, it’s hard.	game/story_scripts/day1_emma.rpy	93	a "[what]"
day1_emma_1_bd1661fc	e	I know.	game/story_scripts/day1_emma.rpy	94	e "[what]"
day1_emma_1_42823db0	a	I guess I’ll go clear my head then.	game/story_scripts/day1_emma.rpy	95	a "[what]"
day1_emma_1_671f9862		{i}I watched him go, a strange mixture of relief and regret swirling inside me and for a moment, the silence in the room felt heavy..	game/story_scripts/day1_emma.rpy	97	"[what]"
day1_emma_1_6977c822		{i}A strange sense of satisfaction crept in. He still wanted me. Even after everything, that desire was still there. I’d be lying if I said that didn’t feel good.	game/story_scripts/day1_emma.rpy	100	"[what]"
day1_emma_1_86ea8cd9	e_	But why does it matter? After all the crap he’s put me through… the cheating, the lies… I should hate him.	game/story_scripts/day1_emma.rpy	101	e_ "[what]"
day1_emma_1_cf80dd83	e_	I should’ve pushed him away harder. But no, here I am, feeling good because he couldn’t keep his hands off me.	game/story_scripts/day1_emma.rpy	102	e_ "[what]"
day1_emma_1_e49d42c8	e_	Why am I even entertaining this? It’s ridiculous. He doesn’t deserve me. He never did.	game/story_scripts/day1_emma.rpy	103	e_ "[what]"
day1_emma_1_f6bbe282	e__	Oh, come on. Stop pretending you don’t love the attention. You saw the way he looked at you—like he’d do anything to get back in your pants. And don’t lie, you liked it.	game/story_scripts/day1_emma.rpy	104	e__ "[what]"
day1_emma_1_fb76d3ac	e_	Shut up. This isn’t about attention. It’s about everything he’s done, everything I’ve had to put up with.	game/story_scripts/day1_emma.rpy	106	e_ "[what]"
day1_emma_1_47b2ab5a	e__	Yeah, yeah, whatever. But be real—if he weren’t such a mess, you’d be all over him. Admit it.	game/story_scripts/day1_emma.rpy	107	e__ "[what]"
day1_emma_1_71482bcb		{i}I paused, letting out a breath. I hated when she was right. There was a part of me that still wanted him, that craved the way he made me feel when things were good. But that part didn’t erase the pain, the betrayal.	game/story_scripts/day1_emma.rpy	108	"[what]"
day1_emma_1_bbeff856	e_	That doesn’t change anything. He’s still a liar, and I’m not falling back into that trap.	game/story_scripts/day1_emma.rpy	109	e_ "[what]"
day1_emma_1_ad02e49f	e__	Sure, keep telling yourself that. But the second he flashes that smile or gets all needy… we both know you’ll cave. You always do.	game/story_scripts/day1_emma.rpy	110	e__ "[what]"
day1_emma_1_e5e11b1d	e_	Shut. Up.	game/story_scripts/day1_emma.rpy	111	e_ "[what]"
day1_emma_1_34391561		{i}I shook my head, pulling my hair back as I tried to focus. I wasn’t going to let this inner voice win. Not today.	game/story_scripts/day1_emma.rpy	113	"[what]"
day1_emma_1_e792fe0d		{i}Maybe Alex still wanted me, but that didn’t mean I had to want him back. At least, that’s what I kept telling myself.	game/story_scripts/day1_emma.rpy	114	"[what]"
day1_emma_1_3ce5c51c		{i}I walked through the hallway toward the entrance of the mansion, my footsteps echoing off the marble floors. The place always felt so empty, so cold. But today, being alone here felt... different.	game/story_scripts/day1_emma.rpy	119	"[what]"
day1_emma_1_97886edd		{i}As I approached the large wooden doors, I could feel a sense of calm settle over me.	game/story_scripts/day1_emma.rpy	120	"[what]"
day1_emma_1_50ec5f0b		{i}Maybe it was the space, maybe it was just the silence, but for once, I felt like I could think clearly.	game/story_scripts/day1_emma.rpy	122	"[what]"
day1_emma_1_592969f5		{i}I sat by the fountain, staring blankly at my phone, scrolling without actually paying attention to anything.	game/story_scripts/day1_emma.rpy	123	"[what]"
day1_emma_1_34bbb04d	e__	Oh, please. You’re just enjoying the peace because Alex isn’t hovering around. Don’t act like you suddenly love this mansion.	game/story_scripts/day1_emma.rpy	124	e__ "[what]"
day1_emma_1_8e362389	e_	I don’t know. Maybe I do like it here. Or maybe I just like being away from him right now.	game/story_scripts/day1_emma.rpy	126	e_ "[what]"
